,Pathway_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332
eco00010,Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655,C00033,C00031,C00103,C00631,C00267,C00221,C00111,C01172,C00668,C05345,C00074,C00197,C00236,C00186,C15972,C00469,C00022,C05125,C00024,C00084,C16255,C15973,C05378,C06186,C06187,C06188,C01451,C00036,C01159,C00118,C00068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00020,Citrate cycle (TCA cycle) - Escherichia coli K-12 MG1655,C00022,C00122,C00036,C05379,C00024,C00149,C00311,C00417,C00042,C00158,C15972,C00068,C16254,C15973,C00091,C00026,C05381,C05125,C00068,C15972,C16255,C15973,C00074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00030,Pentose phosphate pathway - Escherichia coli K-12 MG1655,C01151,C00668,C00118,C00022,C00257,C00198,C00031,C00221,C00345,C00204,C03752,C04442,C00117,C00119,C00620,C00121,C00279,C01218,C05382,C01801,C00673,C00118,C05378,C01172,C01236,C06473,C05345,C00672,C00577,C00258,C00631,C00231,C00231,C00199,C06019,C20589,C03752,C00197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00040,Pentose and glucuronate interconversions - Escherichia coli K-12 MG1655,C14899,C03033,C00817,C00103,C00905,C00514,C00558,C00800,C05385,C00167,C00029,C00312,C02266,C00379,C00181,C01068,C00789,C00022,C03826,C00502,C00309,C00474,C00231,C00310,C00199,C00476,C00508,C00532,C03291,C01508,C01101,C00259,C01904,C00618,C00714,C00470,C02273,C06118,C04053,C04349,C05411,C04575,C05412,C06441,C00266,C00111,C00204,C00116,C00333,C15930,C20680,C02426,C00191,C00433,C00026,C02753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00051,Fructose and mannose metabolism - Escherichia coli K-12 MG1655,C00247,C00267,C01094,C00159,C00275,C00392,C00644,C03267,C00665,C00794,C00464,C02492,C01096,C00325,C01768,C00577,C00507,C00861,C01131,C02431,C01934,C03979,C00118,C00096,C05345,C00976,C01222,C02985,C05392,C02977,C03117,C00095,C00794,C00636,C05378,C02991,C01355,C01019,C00111,C01099,C01721,C06192,C02888,C00247,C18096,C02962,C01487,C18028,C01720,C03827,C20781,C00424,C00186,C11544,C11516,C05144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00052,Galactose metabolism - Escherichia coli K-12 MG1655,C06311,C01216,C00137,C00095,C03383,C00124,C00052,C00103,C00029,C00880,C01286,C00446,C01235,C00089,C00492,C01235,C05399,C05400,C05401,C00116,C00159,C00794,C05396,C01113,C00031,C00124,C05404,C01613,C00118,C00111,C03785,C01097,C01697,C05796,C00795,C00243,C01132,C06376,C06377,C02262,C05402,C00668,C00267,C00577,C02669,C00984,C03733,C00085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00053,Ascorbate and aldarate metabolism - Escherichia coli K-12 MG1655,C00137,C05385,C00167,C00029,C01825,C15930,C15926,C15923,C15925,C02280,C00096,C02670,C00191,C01040,C00800,C00333,C01115,C15924,C03921,C00818,C01146,C00022,C00679,C00879,C00433,C00026,C00259,C00684,C00545,C01114,C20889,C20896,C01620,C03064,C16186,C14899,C05422,C01041,C04575,C05411,C05412,C00618,C00072,C00231,C01101,C03291,C03289,C21955,C00558,C03033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00061,Fatty acid biosynthesis - Escherichia coli K-12 MG1655,C04088,C16221,C16220,C16219,C00712,C01530,C08362,C01203,C16520,C06424,C02679,C01571,C06423,C00024,C00083,C01209,C03939,C05744,C04618,C04246,C05745,C00229,C05746,C05747,C05748,C05749,C05752,C05751,C04620,C05750,C05753,C04619,C05754,C05755,C05223,C05758,C05757,C05756,C05759,C04688,C05760,C05761,C00249,C05764,C05763,C04633,C05762,C04180,C20794,C00154,C00383,C00024,C00083,C00024,C00083,C01209,C05744,C01271,C00693,C00173,C00229,C00383,C00024,C00083,C01209,C05744,C01271,C00693,C00173,C00229,C00638,C02843,C02843,C00638,C03939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00071,Fatty acid degradation - Escherichia coli K-12 MG1655,C02990,C00638,C05280,C03561,C01144,C00877,C00332,C00136,C00229,C05269,C05271,C00010,C05268,C05270,C20683,C05279,C01144,C00010,C05267,C05266,C05276,C01944,C01371,C00340,C05275,C05274,C05264,C00010,C05265,C00435,C00226,C05262,C01832,C00010,C05263,C03221,C00071,C00010,C05260,C02593,C05261,C05273,C00162,C00527,C00010,C05259,C05258,C05272,C00154,C00249,C05102,C03547,C00517,C00823,C00024,C00489,C00154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00121,Secondary bile acid biosynthesis - Escherichia coli K-12 MG1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00130,Ubiquinone and other terpenoid-quinone biosynthesis - Escherichia coli K-12 MG1655,C16519,C03657,C06986,C00885,C00156,C00390,C03160,C02730,C17554,C17559,C17552,C19858,C19859,C05848,C05807,C17551,C05817,C15547,C00544,C00811,C00082,C01179,C03964,C00223,C02949,C05847,C05427,C19847,C13309,C02059,C05427,C00828,C05847,C04145,C17570,C14151,C02477,C16695,C14152,C15882,C02483,C15883,C21860,C18131,C10793,C18132,C18133,C17412,C03993,C18135,C18134,C00341,C05849,C05819,C03313,C20265,C00251,C16999,C17010,C17017,C17018,C20772,C20773,C00423,C00353,C14156,C14154,C20737,C14155,C20738,C14153,C21084,C22039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00190,Oxidative phosphorylation - Escherichia coli K-12 MG1655,C00080,C00080,C00004,C00003,C00080,C00122,C00080,C00080,C00080,C00007,C00001,C00080,C00080,C00008,C00009,C00080,C00013,C00536,C00002,C00001,C00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00220,Arginine biosynthesis - Escherichia coli K-12 MG1655,C03406,C00327,C00062,C00077,C00169,C00049,C00122,C00014,C00624,C04133,C01250,C00064,C00086,C01010,C00011,C15532,C00026,C00437,C20948,C20949,C20950,C20951,C00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00230,Purine metabolism - Escherichia coli K-12 MG1655,C12248,C11821,C02091,C00802,C00169,C00014,C00288,C00117,C00119,C03090,C04734,C00064,C04392,C00046,C00039,C05512,C00559,C00360,C00206,C00131,C00008,C00020,C00212,C00147,C03794,C00014,C00130,C00294,C00262,C00048,C00011,C00014,C00086,C00603,C00499,C02350,C02348,C00366,C05513,C00385,C00008,C01260,C00224,C00053,C00059,C00054,C00037,C02718,C05239,C05516,C05515,C00242,C00330,C00362,C00039,C00286,C00361,C00046,C00035,C04494,C01228,C00144,C00387,C01762,C00081,C00104,C01345,C03373,C04751,C04640,C04376,C04823,C03838,C04677,C01344,C00002,C00044,C03614,C00942,C01261,C02353,C01367,C03483,C00575,C00620,C00301,C00002,C00002,C00655,C00700,C06194,C06195,C06196,C06193,C06197,C04051,C05993,C06433,C06435,C15667,C01444,C00209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00240,Pyrimidine metabolism - Escherichia coli K-12 MG1655,C00063,C15607,C00064,C00438,C00169,C00337,C00119,C01103,C00075,C00015,C00105,C00299,C00106,C00046,C00063,C00039,C00459,C00363,C00364,C00214,C00672,C05281,C20846,C00178,C02376,C21028,C21029,C01205,C00383,C00086,C00813,C00099,C02642,C00429,C00380,C00475,C00055,C00112,C00015,C00460,C01346,C00365,C00526,C00881,C00239,C00705,C00458,C03997,C11038,C11039,C01168,C02067,C00295,C00075,C00029,C01368,C02355,C02354,C06198,C05822,C20231,C20249,C01563,C00222,C01013,C20253,C20254,C02170,C00086,C00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00250,"Alanine, aspartate and glutamate metabolism - Escherichia coli K-12 MG1655",C00122,C00042,C00036,C00026,C00041,C00049,C00152,C00402,C02362,C01042,C03794,C03406,C00022,C00438,C00232,C00025,C00334,C00064,C00014,C00169,C00940,C03912,C00352,C03090,C00014,C12270,C20776,C00158,C20775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00260,"Glycine, serine and threonine metabolism - Escherichia coli K-12 MG1655",C16432,C06231,C06442,C03283,C02855,C02972,C02051,C00258,C00114,C00576,C00719,C00197,C00300,C01026,C05519,C00581,C00049,C03232,C02291,C00097,C00213,C01005,C00037,C00188,C00109,C03082,C00065,C00048,C01102,C03508,C00263,C00441,C00740,C00022,C00011,C00430,C00168,C00014,C00101,C01726,C01888,C00546,C00143,C01242,C03194,C02737,C00078,C00986,C00631,C19929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00261,Monobactam biosynthesis - Escherichia coli K-12 MG1655,C01179,C03198,C03590,C00082,C12323,C17355,C17352,C17351,C01941,C01739,C00927,C00062,C00065,C16842,C00188,C20928,C20927,C00224,C00059,C20929,C20929,C00019,C00049,C03082,C00441,C20258,C00022,C03972,C20911,C20912,C20913,C20914,C20915,C20916,C20917,C20918,C20921,C20920,C20919,C05539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00270,Cysteine and methionine metabolism - Escherichia coli K-12 MG1655,C06547,C01234,C08276,C15606,C15651,C15650,C04582,C04188,C03089,C00170,C01137,C01817,C03145,C00109,C00065,C00155,C00073,C02291,C00021,C00019,C02989,C01180,C03539,C00409,C00065,C00979,C00097,C00283,C05824,C00059,C00051,C02218,C00506,C05528,C11537,C00022,C11481,C00491,C01962,C00606,C05527,C00022,C00793,C00957,C05823,C00263,C01118,C01077,C00441,C03082,C00049,C05524,C09306,C00041,C00094,C01005,C11499,C00109,C02356,C21015,C21016,C19787,C18049,C00197,C03232,C05526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00280,"Valine, leucine and isoleucine degradation - Escherichia coli K-12 MG1655",C15978,C15973,C15973,C15972,C15972,C15976,C00068,C00068,C15973,C15972,C00068,C00123,C00233,C15975,C02939,C03069,C05998,C03231,C00164,C00332,C00024,C00091,C03284,C06002,C02170,C01213,C00683,C00100,C03344,C03345,C05996,C00630,C03460,C06000,C06001,C00183,C00141,C15977,C00407,C00671,C15979,C15980,C04405,C20827,C01205,C00356,C15974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00281,Geraniol degradation - Escherichia coli K-12 MG1655,C03069,C16471,C16469,C16462,C01920,C16464,C16465,C09848,C16470,C04675,C01291,C01499,C16461,C01500,C09871,C16466,C09847,C09849,C16468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00290,"Valine, leucine and isoleucine biosynthesis - Escherichia coli K-12 MG1655",C00188,C06032,C02226,C02612,C00024,C00022,C00109,C06006,C14463,C06007,C00671,C00407,C00183,C00141,C04272,C04181,C06010,C02504,C02631,C04411,C04236,C00233,C00123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco00300,Lysine biosynthesis - Escherichia coli K-12 MG1655,C19889,C19888,C19887,C19886,C00049,C03082,C00263,C00441,C03972,C05539,C04390,C04462,C04421,C00666,C00680,C03871,C04877,C00047,C00449,C04076,C05535,C05560,C00956,C00322,C05662,C04002,C01251,C00024,C00026,C04882,C20278,C20277,C20279,C16138,C20258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
